Snum,sex,age,grade,cond,AgeGroup,FamOrder,FamCon1Acc,FamCon2Acc,FamDis1Acc,FamDis2Acc,Check1Acc,Check2Acc,GNG,RespAcc
11,Male,10,5,C,9,T-D|T-C,1,1,1,1,1,1,1,1
12,Female,7,1,D,7,T-D|T-C,1,1,1,1,1,1,1,1
13,Male,6,KG,D,5,T-D|T-C,1,1,1,1,1,1,1,1
14,Female,9,3,D,9,T-C|T-D,1,1,1,1,1,1,1,1
15,Male,10,4,C,9,T-D|T-C,1,1,1,1,1,1,1,1
16,Male,8,2,C,7,T-C|T-D,1,1,1,1,1,1,1,1
17,Female,6,KG,C,5,T-D|T-C,1,1,1,1,1,1,1,1
18,Male,4,Pre-K,D,4,T-C|T-D,1,1,1,1,1,1,1,1
19,Female,6,1,D,5,T-C|T-D,0,0,1,1,0,1,0,1
20,Female,5,KG,D,5,T-C|T-D,0,1,0,1,0,1,0,1
21,Male,5,Pre-K,D,5,T-C|T-D,1,1,1,1,1,1,1,1
22,Female,6,KG,C,5,T-D|T-C,1,1,1,1,1,1,1,1
23,Female,7,2,C,7,T-D|T-C,1,1,1,1,1,1,1,1
24,Male,5,KG,C,5,T-D|T-C,1,1,1,1,1,1,1,1
25,Male,10,3,D,9,T-C|T-D,1,1,1,1,1,1,1,1
26,Male,5,Pre-K,D,5,T-C|T-D,1,1,1,1,1,1,1,1
27,Female,6,1,C,5,T-D|T-C,1,1,1,1,1,1,1,1
28,Male,6,1,D,5,T-D|T-C,1,1,1,1,1,1,1,0
29,Male,9,4,D,9,T-C|T-D,1,1,1,1,1,1,1,1
30,Male,10,4,C,9,T-D|T-C,1,1,1,1,1,1,1,1
31,Male,7,2,D,7,T-D|T-C,1,1,1,1,1,1,1,0
32,Male,5,Pre-K,C,5,T-D|T-C,0,1,1,0,0,1,0,0
33,Male,5,KG,C,5,T-D|T-C,0,1,0,1,0,1,0,1
34,Male,6,1,C,5,T-D|T-C,1,1,1,1,1,1,1,1
35,Male,7,2,C,7,T-C|T-D,1,1,1,1,1,1,1,1
36,Female,4,Pre-K,C,4,T-D|T-C,1,1,1,1,1,1,1,0
37,Female,9,4,D,9,T-D|T-C,1,1,1,1,1,1,1,1
38,Female,5,KG,D,5,T-C|T-D,1,1,1,1,1,1,1,0
39,Male,7,2,D,7,T-D|T-C,1,1,1,1,1,1,1,1
40,Male,5,KG,C,5,T-D|T-C,1,1,1,1,1,1,1,1
41,Male,7,1,C,7,T-C|T-D,1,1,1,1,1,1,1,1
42,Male,4,Pre-K,C,4,T-D|T-C,1,1,1,1,1,1,1,1
43,Female,5,KG,D,5,T-D|T-C,1,1,1,1,1,1,1,1
44,Female,4,Pre-K,D,4,T-C|T-D,1,0,1,1,1,1,1,0
45,Male,9,4,C,9,T-C|T-D,0,1,1,1,1,1,1,1
46,Male,8,3,D,7,T-D|T-C,1,1,1,1,1,1,1,0
47,Male,5,KG,C,5,T-C|T-D,1,1,1,1,1,1,1,1
48,Female,5,KG,D,5,T-D|T-C,1,1,1,1,1,1,1,1
49,Female,7,1,C,7,T-D|T-C,1,1,1,1,1,1,1,1
50,Female,4,Pre-K,C,4,T-D|T-C,0,1,0,1,0,0,0,0
51,Male,4,Pre-K,C,4,T-D|T-C,1,1,1,1,1,1,1,1
52,Male,4,Pre-K,D,4,T-C|T-D,0,1,0,1,0,1,0,1
53,Female,5,KG,C,5,T-C|T-D,0,1,0,1,0,1,0,0
54,Male,8,3,D,7,T-D|T-C,1,1,1,1,1,1,1,1
