SNUM,sex,age,AgeGroup,cond,T-H1 pred,T-M1 pred,T-H2 pred,T-M2 pred,Conjunctive,Disjunctive,TrainAcc,GNG
12,Male,5,5,D,1,1,1,1,1,1,1,1
11,Female,5,5,D,1,0,1,1,1,1,0.75,1
10,Female,5,5,C,1,1,1,1,1,1,1,1
9,Female,6,5,D,1,1,1,1,1,1,1,1
8,Male,5,5,C,1,1,1,1,1,1,1,1
7,Female,8,7,D,1,1,1,1,1,1,1,1
6,Female,8,7,C,1,1,1,0,1,1,0.75,1
5,Female,8,7,D,1,1,1,1,1,1,1,1
4,Female,8,7,C,1,1,1,1,1,1,1,1
3,Female,8,7,D,1,1,1,1,1,1,1,1
2,Male,8,7,C,1,1,1,1,1,1,1,1
38,Male,5,5,D,1,1,0,1,1,1,0.75,1
37,Male,5,5,C,1,1,1,1,1,1,1,1
36,Male,5,5,D,1,1,1,1,1,1,1,1
35,Female,5,5,C,1,0,1,1,1,1,0.75,1
34,Male,6,5,C,1,0,1,0,1,1,0.5,0
33,Male,8,7,D,1,1,1,1,1,1,1,1
32,Female,8,7,C,1,1,1,1,1,1,1,1
31,Male,8,7,D,1,1,1,1,1,1,1,1
30,Male,8,7,C,1,1,1,1,1,1,1,1
29,Female,7,7,D,1,1,1,1,1,1,1,1
28,Female,7,7,C,1,1,1,1,1,1,1,1
27,Male,7,7,D,1,1,1,1,1,1,1,1
26,Male,7,7,D,1,0,0,1,1,1,0.5,0
25,Male,7,7,C,1,1,0,1,1,1,0.75,1
24,Female,7,7,D,1,1,1,1,1,1,1,1
23,Male,7,7,C,1,1,0,1,1,1,0.75,1
22,Male,7,7,D,1,1,1,1,1,1,1,1
21,Male,7,7,C,1,1,1,1,1,1,1,1
20,Female,8,7,D,1,1,1,1,1,1,1,1
19,Female,8,7,C,1,1,1,1,1,1,1,1
18,Male,8,7,D,1,1,1,1,1,1,1,1
17,Female,8,7,C,1,1,1,1,1,1,1,1
16,Female,7,7,D,1,1,1,0,1,1,0.75,1
15,Male,7,7,C,1,1,1,1,1,1,1,1
14,Female,7,7,D,1,1,1,1,1,1,1,1
13,Male,7,7,C,1,1,1,1,1,1,1,1
49,Female,6,5,C,1,1,1,1,1,1,1,1
48,Male,5,5,D,1,1,1,1,1,1,1,1
47,Female,5,5,C,1,1,1,0,1,1,0.75,1
46,Male,6,5,D,1,1,1,1,1,1,1,1
45,Female,6,5,C,1,1,1,1,1,1,1,1
44,Female,5,5,C,1,0,1,0,0,1,0.5,0
43,Male,5,5,D,1,0,1,1,1,1,0.75,1
42,Female,6,5,C,1,1,1,1,1,1,1,1
41,Male,5,5,C,0,1,0,1,0,1,0.5,0
55,Male,6,5,D,1,1,1,1,1,1,1,1
54,Male,6,5,C,1,1,1,1,1,1,1,1
53,Female,6,5,D,1,1,1,1,1,1,1,1
52,Female,6,5,D,0,1,0,1,1,1,0.5,0
51,Male,6,5,C,1,0,1,1,1,1,0.75,1
50,Female,5,5,D,1,1,0,1,1,1,0.75,1
