StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Loc,LSID,SNUM,Gender,Age,TrainQ,TrainQ_DO,Test,Test_DO
1/16/20 7:36,1/16/20 7:38,16,128.6.37.234,100,145,1,1/16/20 9:04,R_hQu09zizKXlk0ow,,,,,40.48800659,-74.45439911,,EN,3stages,13,1,2,3,1,2|1,2,2|1
1/16/20 7:43,1/16/20 7:45,16,128.6.37.234,100,141,1,1/16/20 9:04,R_1U6rmcbrunuTLHN,,,,,40.764476,-74.222287,,EN,3stages ,16,2,1,3,2,2|1,2,2|1
1/16/20 7:56,1/16/20 7:58,16,128.6.37.234,100,131,1,1/16/20 9:04,R_3LG5NJ7buqRLdaS,,,,,40.764679,-74.222401,,EN,3stages ,9,3,1,3,2,2|1,1,2|1
1/16/20 8:13,1/16/20 8:15,16,128.6.37.234,100,169,1,1/16/20 9:04,R_bmKCQxCGvCt64jq,,,,,40.48800659,-74.45439911,,EN,3 stages,1,4,2,3,2,2|1,1,2|1
1/16/20 8:23,1/16/20 8:25,16,128.6.37.234,100,152,1,1/16/20 9:04,R_hn2mHviBI56EIEF,,,,,40.48800659,-74.45439911,,EN,3 stages,6,5,1,3,2,2|1,2,2|1
1/16/20 8:32,1/16/20 8:35,16,128.6.37.234,100,140,1,1/16/20 9:04,R_lWHLhc1LouUOgAb,,,,,40.48800659,-74.45439911,,EN,3stages ,2,6,2,4,2,1|2,1,2|1
1/16/20 8:41,1/16/20 8:44,16,128.6.37.234,100,177,1,1/16/20 9:04,R_b2K163NhdBh6d6N,,,,,40.48800659,-74.45439911,,EN,3stages ,3,7,1,4,1,1|2,2,2|1
1/17/20 12:45,1/17/20 12:47,16,128.6.37.234,100,141,1,1/17/20 13:28,R_hhJFZ2wqFDRosDQ,,,,,40.790947,-74.174205,,EN,Sandy lane ,19,8,1,3,2,1|2,1,1|2
1/17/20 12:53,1/17/20 12:56,16,128.6.37.234,100,176,1,1/17/20 13:28,R_osnDAqZLJLL2F7T,,,,,40.790905,-74.174199,,EN,Sandy lane ,19,9,2,3,1,1|2,1,1|2
1/23/20 7:51,1/23/20 7:54,16,128.6.36.216,100,155,1,1/23/20 9:53,R_1ZFGhF5jJMvJDiU,,,,,40.55110168,-74.46060181,,EN,Little scholar,74,10,2,4,2,2|1,2,1|2
1/23/20 7:59,1/23/20 8:02,16,128.6.36.216,100,150,1,1/23/20 9:53,R_8Dn2fHVNSIzLT6B,,,,,40.55110168,-74.46060181,,EN,Little scholar,75,11,1,4,2,1|2,2,1|2
1/23/20 8:07,1/23/20 8:10,16,128.6.36.216,100,174,1,1/23/20 9:53,R_65hcJixylmUrO7l,,,,,40.55110168,-74.46060181,,EN,Little scholar,76,12,2,3,2,1|2,1,1|2
1/24/20 7:38,1/24/20 7:41,16,128.6.37.234,100,147,1,1/24/20 8:32,R_945enYQcSl1jqMU,,,,,40.801007,-74.351081,,EN,Peanut shell,28,13,1,3,2,1|2,2,1|2
1/24/20 7:47,1/24/20 7:49,16,128.6.37.234,100,133,1,1/24/20 8:32,R_eqKWXTH6RGR29aE,,,,,40.801015,-74.350901,,EN,Peanut shell,27,14,1,3,2,2|1,2,2|1
1/24/20 7:56,1/24/20 7:59,16,128.6.37.234,100,144,1,1/24/20 8:32,R_4EDPnGthIaABqNq,,,,,40.800965,-74.351077,,EN,Peanut shell,34,15,2,3,2,1|2,2,1|2
3/9/20 7:33,3/9/20 7:35,16,128.6.37.134,100,160,1,3/11/20 8:24,R_eVrewLsAWfLsPUk,,,,,40.768008,-74.166213,,EN,IEP2 ,78,16,1,3,2,2|1,2,1|2
2/7/20 13:27,2/7/20 13:30,16,128.6.37.234,100,189,1,2/7/20 15:35,R_fuqubCkb3EOKOJN,,,,,40.48800659,-74.45439911,,EN,Elite day care,5,17,1,3,2,1|2,1,1|2
2/10/20 7:30,2/10/20 7:33,16,128.6.37.234,100,189,1,2/10/20 8:39,R_oAVCaFRipKMUYRE,,,,,40.816205,-74.306555,,EN,Roseland,21,18,1,3,2,1|2,2,1|2
2/10/20 7:41,2/10/20 7:43,16,128.6.37.234,100,145,1,2/10/20 8:39,R_gEbKYaH6Qoh6i2O,,,,,40.816121,-74.306489,,EN,Roseland,22,19,2,3,2,2|1,2,2|1
2/19/20 7:31,2/19/20 7:34,16,128.6.37.234,100,191,1,2/19/20 8:59,R_ag4OXTzzibioBN3,,,,,40.730498,-74.146339,,EN,IEP 1,142,20,2,3,2,1|2,2,2|1
2/19/20 7:44,2/19/20 7:48,16,128.6.37.234,100,237,1,2/19/20 8:59,R_oK6rwIpf9RbcNh2,,,,,40.730637,-74.146096,,EN,IEP1,151,21,1,4,2,2|1,1,2|1
2/19/20 7:59,2/19/20 8:02,16,128.6.37.234,100,154,1,2/19/20 8:59,R_3sWCGg2LhhogPJE,,,,,40.730609,-74.146126,,EN,IEP1 ,153,21,2,4,2,2|1,2,2|1
2/19/20 8:18,2/19/20 8:22,16,128.6.37.234,100,200,1,2/19/20 8:59,R_moJyWlLCOZ5WR5v,,,,,40.730574,-74.146221,,EN,Iep1,145,23,1,3,2,2|1,1,2|1
2/28/20 13:25,2/28/20 13:27,16,128.6.37.234,100,150,1,3/2/20 6:58,R_am3Y1SxAJrKKlK9,,,,,40.790843,-74.174246,,EN,Sandy lane,25,24,1,4,2,2|1,2,1|2
2/28/20 13:37,2/28/20 13:40,16,128.6.37.234,100,148,1,3/2/20 6:58,R_one5nQP7eB5w4sL,,,,,40.790886,-74.174228,,EN,Sandy lane,30,25,1,3,2,2|1,2,2|1
3/2/20 7:32,3/2/20 7:36,16,128.6.37.134,100,217,1,3/11/20 8:24,R_d5BCACNUjH87q6s,,,,,40.769593,-74.162487,,EN,Parkside 3,24,26,2,3,1,1|2,2,1|2
3/9/20 7:39,3/9/20 7:42,16,128.6.37.134,100,160,1,3/11/20 8:24,R_7IkRRfXqcafbyFq,,,,,40.768096,-74.166265,,EN,IEP2,89,27,2,3,2,1|2,2,2|1
3/9/20 7:50,3/9/20 7:52,16,128.6.37.134,100,162,1,3/11/20 8:24,R_oJhj51qMbClyDxs,,,,,40.768019,-74.166267,,EN,IEP2,72,28,2,3,2,2|1,1,2|1
3/9/20 7:57,3/9/20 7:59,16,128.6.37.134,100,143,1,3/11/20 8:25,R_nNNLY2wY9IQOKQ5,,,,,40.768146,-74.166313,,EN,IEP2,77,29,2,3,2,1|2,2,2|1
3/11/20 7:25,3/11/20 7:28,16,128.6.37.134,100,185,1,3/11/20 8:25,R_6STuyVha18LhiaV,,,,,40.48800659,-74.45439911,,EN,First Class,19,30,1,3,2,2|1,2,2|1
